Seizoen,Datum,Thuisclub,Uitclub,Thuisscore,Uitscore
1990-1991,1991-05-12,NEC,FC Twente,1,3
1990-1991,1991-05-12,PSV,Willem II,3,0
1990-1991,1991-05-12,RKC,SVV,4,1
1990-1991,1991-05-12,Roda JC,Sparta,2,2
1990-1991,1991-05-15,FC Twente,Ajax,0,1
1990-1991,1991-05-15,SC Heerenveen,Vitesse,2,2
1990-1991,1991-05-20,Ajax,Feyenoord,2,0
1990-1991,1991-05-20,FC Twente,MVV,4,1
1990-1991,1991-05-20,FC Utrecht,FC Groningen,4,0
1990-1991,1991-05-20,Fortuna Sittard,PSV,0,3
1990-1991,1991-05-20,Sparta,FC Den Haag,0,0
1990-1991,1991-05-20,SVV,Roda JC,3,1
1990-1991,1991-05-20,Vitesse,RKC,1,1
1990-1991,1991-05-20,Willem II,SC Heerenveen,5,2
1990-1991,1991-05-23,FC Groningen,NEC,2,1
1990-1991,1991-05-26,FC Den Haag,SVV,1,1
1990-1991,1991-05-26,FC Volendam,Ajax,0,3
1990-1991,1991-05-26,Feyenoord,FC Utrecht,0,0
1990-1991,1991-05-26,MVV,FC Groningen,1,0
1990-1991,1991-05-26,PSV,FC Twente,3,1
1990-1991,1991-05-26,RKC,Willem II,2,0
1990-1991,1991-05-26,Roda JC,Vitesse,1,2
1990-1991,1991-05-26,SC Heerenveen,Fortuna Sittard,1,2
1990-1991,1991-06-02,FC Volendam,FC Utrecht,0,1
1990-1991,1991-06-02,Fortuna Sittard,FC Den Haag,3,1
1990-1991,1991-06-02,NEC,SC Heerenveen,2,1
1990-1991,1991-06-09,FC Groningen,PSV,4,1
1990-1991,1991-06-09,FC Twente,SC Heerenveen,3,3
1990-1991,1991-06-09,FC Utrecht,NEC,2,0
1990-1991,1991-06-09,FC Volendam,MVV,2,2
1990-1991,1991-06-09,Feyenoord,Sparta,4,3
1990-1991,1991-06-09,Fortuna Sittard,RKC,0,2
1990-1991,1991-06-09,SVV,Ajax,1,0
1990-1991,1991-06-09,Vitesse,FC Den Haag,2,0
1990-1991,1991-06-09,Willem II,Roda JC,2,0
1990-1991,1991-06-16,Ajax,Vitesse,3,0
1990-1991,1991-06-16,FC Den Haag,Willem II,1,0
1990-1991,1991-06-16,MVV,FC Utrecht,1,1
1990-1991,1991-06-16,NEC,Feyenoord,2,1
1990-1991,1991-06-16,PSV,FC Volendam,3,0
1990-1991,1991-06-16,RKC,FC Twente,6,6
1990-1991,1991-06-16,Roda JC,Fortuna Sittard,1,1
1990-1991,1991-06-16,SC Heerenveen,FC Groningen,4,2
1990-1991,1991-06-16,Sparta,SVV,5,3
1991-1992,1991-08-18,FC Groningen,Willem II,1,0
1991-1992,1991-08-18,FC Volendam,Sparta,1,1
1991-1992,1991-08-18,Feyenoord,FC Twente,1,0
1991-1992,1991-08-18,MVV,Fortuna Sittard,0,0
1991-1992,1991-08-18,PSV,FC Utrecht,2,1
1991-1992,1991-08-18,RKC,De Graafschap,2,1
1991-1992,1991-08-18,VVV,Roda JC,1,3
1991-1992,1991-08-21,Ajax,FC Volendam,3,0
1991-1992,1991-08-21,De Graafschap,FC Groningen,0,0
1991-1992,1991-08-21,FC Den Haag,Vitesse,0,3
1991-1992,1991-08-21,FC Twente,MVV,1,0
1991-1992,1991-08-21,Roda JC,SVV/Dordrecht `90,1,0
1991-1992,1991-08-21,Willem II,VVV,4,0
1991-1992,1991-08-25,De Graafschap,FC Den Haag,2,4
1991-1992,1991-08-25,FC Twente,FC Volendam,0,1
1991-1992,1991-08-25,RKC,Fortuna Sittard,2,2
1991-1992,1991-08-25,Sparta,Feyenoord,0,0
1991-1992,1991-08-25,SVV/Dordrecht `90,VVV,6,1
1991-1992,1991-08-25,Vitesse,Ajax,0,0
1991-1992,1991-08-28,De Graafschap,Willem II,1,2
1991-1992,1991-08-28,FC Utrecht,RKC,1,1
1991-1992,1991-08-28,Fortuna Sittard,PSV,2,5
1991-1992,1991-08-28,MVV,Sparta,1,3
1991-1992,1991-08-28,SVV/Dordrecht `90,FC Den Haag,2,2
1991-1992,1991-08-28,Vitesse,Roda JC,0,0
1991-1992,1991-09-01,Ajax,MVV,3,0
1991-1992,1991-09-01,FC Twente,RKC,1,1
1991-1992,1991-09-01,FC Utrecht,De Graafschap,2,0
1991-1992,1991-09-01,Fortuna Sittard,FC Groningen,2,2
1991-1992,1991-09-01,Roda JC,FC Volendam,1,5
1991-1992,1991-09-01,Sparta,PSV,1,3
1991-1992,1991-09-01,VVV,Vitesse,0,0
1991-1992,1991-09-01,Willem II,SVV/Dordrecht `90,2,2
1991-1992,1991-09-04,De Graafschap,Fortuna Sittard,2,0
1991-1992,1991-09-04,FC Groningen,FC Twente,1,2
1991-1992,1991-09-04,FC Utrecht,Willem II,1,0
1991-1992,1991-09-04,FC Volendam,VVV,1,0
1991-1992,1991-09-04,Feyenoord,Roda JC,1,1
1991-1992,1991-09-04,MVV,FC Den Haag,1,1
1991-1992,1991-09-04,RKC,Sparta,6,2
1991-1992,1991-09-04,Vitesse,SVV/Dordrecht `90,4,1
1991-1992,1991-09-08,Ajax,RKC,5,1
1991-1992,1991-09-08,FC Twente,De Graafschap,3,0
1991-1992,1991-09-08,Fortuna Sittard,FC Utrecht,2,2
1991-1992,1991-09-08,Sparta,FC Groningen,4,2
1991-1992,1991-09-08,SVV/Dordrecht `90,FC Volendam,3,2
1991-1992,1991-09-08,VVV,Feyenoord,0,1
1991-1992,1991-09-08,Willem II,Vitesse,2,4
1991-1992,1991-09-10,Roda JC,MVV,0,2
1991-1992,1991-09-15,De Graafschap,Sparta,0,1
1991-1992,1991-09-15,FC Utrecht,FC Twente,1,1
1991-1992,1991-09-15,FC Volendam,Vitesse,0,1
1991-1992,1991-09-15,Feyenoord,SVV/Dordrecht `90,2,0
1991-1992,1991-09-15,Fortuna Sittard,Willem II,0,0
1991-1992,1991-09-15,MVV,VVV,1,0
1991-1992,1991-09-15,PSV,Roda JC,2,1
1991-1992,1991-09-15,RKC,FC Den Haag,3,0
1991-1992,1991-09-22,Ajax,De Graafschap,5,1
1991-1992,1991-09-22,FC Den Haag,FC Groningen,2,2
1991-1992,1991-09-22,FC Twente,Fortuna Sittard,3,1
1991-1992,1991-09-22,Roda JC,RKC,1,0
1991-1992,1991-09-22,Sparta,FC Utrecht,2,1
1991-1992,1991-09-22,SVV/Dordrecht `90,MVV,2,3
1991-1992,1991-09-22,Vitesse,Feyenoord,2,1
1991-1992,1991-09-22,Willem II,FC Volendam,1,1
1991-1992,1991-09-25,FC Groningen,Roda JC,1,2
1991-1992,1991-09-25,FC Twente,Willem II,1,0
1991-1992,1991-09-25,Feyenoord,FC Volendam,1,0
1991-1992,1991-09-25,Fortuna Sittard,Sparta,2,2
1991-1992,1991-09-25,MVV,Vitesse,2,1
1991-1992,1991-09-25,PSV,SVV/Dordrecht `90,5,0
1991-1992,1991-09-25,RKC,VVV,3,3
1991-1992,1991-09-29,Ajax,Fortuna Sittard,3,1
1991-1992,1991-09-29,FC Den Haag,FC Utrecht,0,0
1991-1992,1991-09-29,FC Volendam,MVV,2,0
1991-1992,1991-09-29,Roda JC,De Graafschap,3,2
1991-1992,1991-09-29,Sparta,FC Twente,3,2
1991-1992,1991-09-29,SVV/Dordrecht `90,RKC,3,2
1991-1992,1991-09-29,Vitesse,PSV,1,2
1991-1992,1991-09-29,VVV,FC Groningen,1,2
1991-1992,1991-09-29,Willem II,Feyenoord,1,4
1991-1992,1991-10-06,FC Den Haag,PSV,0,2
1991-1992,1991-10-06,FC Groningen,SVV/Dordrecht `90,5,0
1991-1992,1991-10-06,FC Utrecht,Roda JC,3,1
1991-1992,1991-10-06,MVV,Feyenoord,0,1
1991-1992,1991-10-06,RKC,Vitesse,1,0
1991-1992,1991-10-06,Sparta,Willem II,1,1
1991-1992,1991-10-09,Ajax,Sparta,4,0
1991-1992,1991-10-09,FC Den Haag,FC Twente,0,4
1991-1992,1991-10-09,Feyenoord,PSV,1,1
1991-1992,1991-10-09,Roda JC,Fortuna Sittard,0,0
1991-1992,1991-10-09,SVV/Dordrecht `90,De Graafschap,3,1
1991-1992,1991-10-09,Vitesse,FC Groningen,0,0
1991-1992,1991-10-09,VVV,FC Utrecht,1,1
1991-1992,1991-10-09,Willem II,MVV,0,0
1991-1992,1991-10-13,FC Den Haag,Feyenoord,1,4
1991-1992,1991-10-20,De Graafschap,Vitesse,2,0
1991-1992,1991-10-20,FC Groningen,FC Volendam,1,0
1991-1992,1991-10-20,FC Twente,Roda JC,1,1
1991-1992,1991-10-20,FC Utrecht,SVV/Dordrecht `90,1,1
1991-1992,1991-10-20,Fortuna Sittard,VVV,0,1
1991-1992,1991-10-20,PSV,Ajax,3,2
1991-1992,1991-10-20,RKC,Feyenoord,2,3
1991-1992,1991-10-20,Sparta,FC Den Haag,4,0
1991-1992,1991-10-27,FC Utrecht,Ajax,2,1
1991-1992,1991-10-27,FC Volendam,De Graafschap,2,1
1991-1992,1991-10-27,Feyenoord,FC Groningen,0,0
1991-1992,1991-10-27,MVV,RKC,1,1
1991-1992,1991-10-27,Roda JC,Sparta,1,1
1991-1992,1991-10-27,SVV/Dordrecht `90,Fortuna Sittard,2,1
1991-1992,1991-10-27,VVV,FC Twente,3,4
1991-1992,1991-10-27,Willem II,PSV,0,2
1991-1992,1991-10-30,Ajax,Willem II,3,0
1991-1992,1991-10-30,FC Volendam,RKC,0,3
1991-1992,1991-10-30,Fortuna Sittard,FC Den Haag,0,1
1991-1992,1991-10-30,PSV,MVV,1,1
1991-1992,1991-10-30,Vitesse,FC Utrecht,1,0
1991-1992,1991-11-03,De Graafschap,Feyenoord,1,1
1991-1992,1991-11-03,FC Den Haag,Ajax,0,0
1991-1992,1991-11-03,FC Groningen,MVV,2,2
1991-1992,1991-11-03,FC Twente,SVV/Dordrecht `90,5,0
1991-1992,1991-11-03,FC Utrecht,FC Volendam,0,0
1991-1992,1991-11-03,Fortuna Sittard,Vitesse,2,2
1991-1992,1991-11-03,RKC,PSV,2,2
1991-1992,1991-11-03,Sparta,VVV,1,1
1991-1992,1991-11-10,FC Volendam,Fortuna Sittard,0,1
1991-1992,1991-11-10,Feyenoord,FC Utrecht,0,0
1991-1992,1991-11-10,MVV,De Graafschap,0,0
1991-1992,1991-11-10,PSV,FC Groningen,2,1
1991-1992,1991-11-10,RKC,Willem II,1,2
1991-1992,1991-11-10,Roda JC,FC Den Haag,5,0
1991-1992,1991-11-10,Vitesse,FC Twente,4,1
1991-1992,1991-11-10,VVV,Ajax,0,4
1991-1992,1991-11-13,Ajax,Roda JC,2,0
1991-1992,1991-11-13,PSV,FC Twente,3,3
1991-1992,1991-11-17,Feyenoord,Ajax,2,0
1991-1992,1991-11-20,Ajax,SVV/Dordrecht `90,1,0
1991-1992,1991-11-20,PSV,FC Volendam,1,1
1991-1992,1991-11-24,De Graafschap,PSV,0,2
1991-1992,1991-11-24,FC Den Haag,VVV,2,2
1991-1992,1991-11-24,FC Groningen,RKC,2,0
1991-1992,1991-11-24,FC Twente,Ajax,0,0
1991-1992,1991-11-24,FC Utrecht,MVV,3,2
1991-1992,1991-11-24,Fortuna Sittard,Feyenoord,0,1
1991-1992,1991-11-24,Sparta,Vitesse,1,1
1991-1992,1991-11-24,Willem II,Roda JC,0,2
1991-1992,1991-11-27,FC Den Haag,Willem II,0,2
1991-1992,1991-12-01,De Graafschap,VVV,1,0
1991-1992,1991-12-01,FC Groningen,FC Utrecht,2,0
1991-1992,1991-12-01,FC Volendam,FC Den Haag,0,0
1991-1992,1991-12-08,Ajax,Vitesse,0,2
1991-1992,1991-12-08,De Graafschap,RKC,2,2
1991-1992,1991-12-08,FC Den Haag,SVV/Dordrecht `90,0,1
1991-1992,1991-12-08,FC Twente,Feyenoord,1,2
1991-1992,1991-12-08,FC Utrecht,PSV,1,1
1991-1992,1991-12-08,Roda JC,VVV,3,2
1991-1992,1991-12-08,Sparta,FC Volendam,2,1
1991-1992,1991-12-15,FC Groningen,De Graafschap,1,0
1991-1992,1991-12-15,FC Volendam,Ajax,1,4
1991-1992,1991-12-15,Feyenoord,Sparta,2,0
1991-1992,1991-12-15,MVV,FC Twente,0,3
1991-1992,1991-12-15,PSV,Fortuna Sittard,1,0
1991-1992,1991-12-15,RKC,FC Utrecht,1,1
1991-1992,1991-12-15,SVV/Dordrecht `90,Roda JC,2,0
1991-1992,1991-12-15,Vitesse,FC Den Haag,2,0
1991-1992,1991-12-15,VVV,Willem II,1,2
1991-1992,1991-12-22,Ajax,Feyenoord,3,1
1991-1992,1991-12-22,FC Den Haag,FC Volendam,5,0
1991-1992,1991-12-22,FC Twente,PSV,0,4
1991-1992,1991-12-22,FC Utrecht,FC Groningen,0,2
1991-1992,1991-12-22,Sparta,MVV,1,2
1991-1992,1991-12-22,Willem II,De Graafschap,4,1
1991-1992,1992-01-12,De Graafschap,FC Utrecht,0,0
1991-1992,1992-01-12,FC Groningen,Fortuna Sittard,2,1
1991-1992,1992-01-12,FC Volendam,Roda JC,3,2
1991-1992,1992-01-12,Feyenoord,FC Den Haag,3,0
1991-1992,1992-01-12,MVV,Ajax,1,4
1991-1992,1992-01-12,PSV,Sparta,4,1
1991-1992,1992-01-12,RKC,FC Twente,4,1
1991-1992,1992-01-12,SVV/Dordrecht `90,Willem II,0,3
1991-1992,1992-01-12,Vitesse,VVV,6,1
1991-1992,1992-01-19,Ajax,PSV,1,0
1991-1992,1992-01-19,FC Den Haag,MVV,1,2
1991-1992,1992-01-19,FC Twente,FC Groningen,4,1
1991-1992,1992-01-19,Fortuna Sittard,De Graafschap,3,1
1991-1992,1992-01-19,Roda JC,Feyenoord,0,0
1991-1992,1992-01-19,Sparta,RKC,2,3
1991-1992,1992-01-19,SVV/Dordrecht `90,Vitesse,0,1
1991-1992,1992-01-19,VVV,FC Volendam,0,1
1991-1992,1992-01-19,Willem II,FC Utrecht,0,1
1991-1992,1992-01-26,De Graafschap,FC Twente,0,0
1991-1992,1992-01-26,FC Utrecht,Fortuna Sittard,1,1
1991-1992,1992-01-26,Feyenoord,VVV,5,1
1991-1992,1992-01-26,MVV,Roda JC,0,2
1991-1992,1992-01-26,PSV,FC Den Haag,2,1
1991-1992,1992-01-26,RKC,Ajax,2,2
1991-1992,1992-01-26,Vitesse,Willem II,3,1
1991-1992,1992-02-02,Ajax,FC Groningen,0,0
1991-1992,1992-02-02,FC Den Haag,RKC,0,0
1991-1992,1992-02-02,Roda JC,PSV,0,0
1991-1992,1992-02-02,Sparta,De Graafschap,1,1
1991-1992,1992-02-02,SVV/Dordrecht `90,Feyenoord,0,1
1991-1992,1992-02-02,Vitesse,FC Volendam,0,0
1991-1992,1992-02-02,Willem II,Fortuna Sittard,5,0
1991-1992,1992-02-09,FC Volendam,FC Utrecht,4,2
1991-1992,1992-02-09,Fortuna Sittard,MVV,0,0
1991-1992,1992-02-09,Roda JC,FC Groningen,0,0
1991-1992,1992-02-09,VVV,SVV/Dordrecht `90,3,2
1991-1992,1992-02-09,Willem II,FC Den Haag,2,0
1991-1992,1992-02-16,De Graafschap,Ajax,0,1
1991-1992,1992-02-16,FC Groningen,FC Den Haag,3,1
1991-1992,1992-02-16,FC Utrecht,Sparta,1,1
1991-1992,1992-02-16,FC Volendam,Willem II,0,0
1991-1992,1992-02-16,Feyenoord,Vitesse,5,0
1991-1992,1992-02-16,Fortuna Sittard,FC Twente,3,1
1991-1992,1992-02-16,MVV,SVV/Dordrecht `90,3,1
1991-1992,1992-02-16,PSV,VVV,4,0
1991-1992,1992-02-16,RKC,Roda JC,0,1
1991-1992,1992-02-19,Roda JC,Vitesse,1,1
1991-1992,1992-02-19,SVV/Dordrecht `90,Sparta,0,0
1991-1992,1992-02-19,VVV,PSV,0,2
1991-1992,1992-02-23,Ajax,FC Utrecht,1,0
1991-1992,1992-02-23,FC Den Haag,De Graafschap,4,0
1991-1992,1992-02-23,FC Volendam,Feyenoord,0,1
1991-1992,1992-02-23,Sparta,Fortuna Sittard,3,2
1991-1992,1992-02-23,SVV/Dordrecht `90,PSV,1,2
1991-1992,1992-02-23,Vitesse,MVV,1,2
1991-1992,1992-02-23,VVV,RKC,0,0
1991-1992,1992-02-23,Willem II,FC Twente,3,1
1991-1992,1992-02-26,FC Volendam,SVV/Dordrecht `90,2,3
1991-1992,1992-02-26,Fortuna Sittard,Ajax,0,1
1991-1992,1992-03-01,FC Groningen,Ajax,1,2
1991-1992,1992-03-08,De Graafschap,Roda JC,3,2
1991-1992,1992-03-08,FC Groningen,VVV,3,2
1991-1992,1992-03-08,FC Twente,Sparta,4,0
1991-1992,1992-03-08,FC Utrecht,FC Den Haag,4,1
1991-1992,1992-03-08,MVV,FC Volendam,1,2
1991-1992,1992-03-08,PSV,Vitesse,2,0
1991-1992,1992-03-08,RKC,SVV/Dordrecht `90,2,0
1991-1992,1992-03-15,Ajax,FC Twente,7,0
1991-1992,1992-03-15,FC Den Haag,Fortuna Sittard,1,0
1991-1992,1992-03-15,FC Volendam,PSV,0,3
1991-1992,1992-03-15,Feyenoord,MVV,0,1
1991-1992,1992-03-15,SVV/Dordrecht `90,FC Groningen,0,1
1991-1992,1992-03-15,Vitesse,RKC,0,1
1991-1992,1992-03-15,VVV,De Graafschap,1,2
1991-1992,1992-03-15,Willem II,Sparta,0,2
1991-1992,1992-03-18,Roda JC,FC Utrecht,2,0
1991-1992,1992-03-22,FC Groningen,Sparta,1,0
1991-1992,1992-03-29,De Graafschap,SVV/Dordrecht `90,0,0
1991-1992,1992-03-29,FC Groningen,Vitesse,1,2
1991-1992,1992-03-29,FC Twente,FC Den Haag,0,0
1991-1992,1992-03-29,FC Utrecht,VVV,3,1
1991-1992,1992-03-29,Fortuna Sittard,Roda JC,0,1
1991-1992,1992-03-29,MVV,Willem II,1,1
1991-1992,1992-03-29,PSV,Feyenoord,2,1
1991-1992,1992-03-29,RKC,FC Volendam,2,1
1991-1992,1992-03-29,Sparta,Ajax,1,3
1991-1992,1992-04-05,FC Den Haag,Sparta,0,0
1991-1992,1992-04-05,FC Volendam,FC Groningen,2,0
1991-1992,1992-04-05,Feyenoord,RKC,0,0
1991-1992,1992-04-05,MVV,PSV,1,1
1991-1992,1992-04-05,Roda JC,FC Twente,1,1
1991-1992,1992-04-05,SVV/Dordrecht `90,FC Utrecht,1,2
1991-1992,1992-04-05,Vitesse,De Graafschap,1,0
1991-1992,1992-04-05,VVV,Fortuna Sittard,1,4
1991-1992,1992-04-05,Willem II,Ajax,2,4
1991-1992,1992-04-08,FC Twente,FC Utrecht,2,0
1991-1992,1992-04-08,Fortuna Sittard,RKC,1,0
1991-1992,1992-04-12,Ajax,FC Den Haag,3,2
1991-1992,1992-04-12,De Graafschap,FC Volendam,3,0
1991-1992,1992-04-12,FC Groningen,Feyenoord,1,0
1991-1992,1992-04-12,FC Twente,VVV,2,1
1991-1992,1992-04-12,FC Utrecht,Vitesse,1,1
1991-1992,1992-04-12,Fortuna Sittard,SVV/Dordrecht `90,0,0
1991-1992,1992-04-12,PSV,Willem II,3,0
1991-1992,1992-04-12,RKC,MVV,1,1
1991-1992,1992-04-12,Sparta,Roda JC,4,0
1991-1992,1992-04-14,VVV,Sparta,1,3
1991-1992,1992-04-18,MVV,FC Groningen,3,3
1991-1992,1992-04-18,PSV,RKC,5,0
1991-1992,1992-04-20,Feyenoord,De Graafschap,3,0
1991-1992,1992-04-20,Roda JC,Ajax,0,3
1991-1992,1992-04-20,SVV/Dordrecht `90,FC Twente,1,0
1991-1992,1992-04-20,Vitesse,Fortuna Sittard,0,1
1991-1992,1992-04-20,VVV,MVV,0,4
1991-1992,1992-04-20,Willem II,FC Groningen,0,0
1991-1992,1992-04-26,Ajax,VVV,3,1
1991-1992,1992-04-26,De Graafschap,MVV,1,1
1991-1992,1992-04-26,FC Den Haag,Roda JC,5,3
1991-1992,1992-04-26,FC Groningen,PSV,0,3
1991-1992,1992-04-26,FC Twente,Vitesse,1,2
1991-1992,1992-04-26,FC Utrecht,Feyenoord,0,0
1991-1992,1992-04-26,Fortuna Sittard,FC Volendam,4,1
1991-1992,1992-04-26,Sparta,SVV/Dordrecht `90,1,1
1991-1992,1992-04-26,Willem II,RKC,3,1
1991-1992,1992-04-29,Feyenoord,Willem II,3,1
1991-1992,1992-05-03,FC Volendam,FC Twente,0,0
1991-1992,1992-05-03,Feyenoord,Fortuna Sittard,3,0
1991-1992,1992-05-03,MVV,FC Utrecht,3,1
1991-1992,1992-05-03,PSV,De Graafschap,5,0
1991-1992,1992-05-03,RKC,FC Groningen,0,0
1991-1992,1992-05-03,Roda JC,Willem II,0,0
1991-1992,1992-05-03,SVV/Dordrecht `90,Ajax,0,5
1991-1992,1992-05-03,Vitesse,Sparta,1,1
1991-1992,1992-05-03,VVV,FC Den Haag,2,1
1992-1993,1992-08-16,Dordrecht `90,Ajax,0,3
1992-1993,1992-08-16,FC Groningen,Willem II,1,1
1992-1993,1992-08-16,FC Twente,Feyenoord,0,5
1992-1993,1992-08-16,FC Utrecht,FC Den Bosch,1,1
1992-1993,1992-08-16,FC Volendam,Vitesse,1,1
1992-1993,1992-08-16,Fortuna Sittard,MVV,1,1
1992-1993,1992-08-16,Go Ahead Eagles,Cambuur Leeuwarden,1,1
1992-1993,1992-08-16,PSV,Roda JC,2,0
1992-1993,1992-08-16,Sparta,RKC,0,0
1992-1993,1992-08-23,Ajax,Go Ahead Eagles,3,1
1992-1993,1992-08-23,Cambuur Leeuwarden,Sparta,0,0
1992-1993,1992-08-23,FC Den Bosch,Dordrecht `90,2,0
1992-1993,1992-08-23,Feyenoord,Fortuna Sittard,4,1
1992-1993,1992-08-23,MVV,FC Utrecht,0,3
1992-1993,1992-08-23,Roda JC,FC Volendam,1,0
1992-1993,1992-08-23,Vitesse,FC Groningen,0,0
1992-1993,1992-08-23,Willem II,FC Twente,0,1
1992-1993,1992-08-30,Dordrecht `90,MVV,2,2
1992-1993,1992-08-30,FC Twente,FC Groningen,5,0
1992-1993,1992-08-30,FC Utrecht,Feyenoord,0,0
1992-1993,1992-08-30,FC Volendam,RKC,0,2
1992-1993,1992-08-30,Fortuna Sittard,Willem II,0,1
1992-1993,1992-08-30,Go Ahead Eagles,FC Den Bosch,2,0
1992-1993,1992-08-30,Roda JC,Vitesse,0,2
1992-1993,1992-08-30,Sparta,Ajax,0,0
1992-1993,1992-09-02,PSV,Cambuur Leeuwarden,3,0
1992-1993,1992-09-06,Ajax,PSV,1,2
1992-1993,1992-09-06,Cambuur Leeuwarden,FC Volendam,0,0
1992-1993,1992-09-06,FC Den Bosch,Sparta,1,1
1992-1993,1992-09-06,FC Groningen,Fortuna Sittard,2,1
1992-1993,1992-09-06,Feyenoord,Dordrecht `90,3,0
1992-1993,1992-09-06,MVV,Go Ahead Eagles,3,0
1992-1993,1992-09-06,RKC,Roda JC,1,4
1992-1993,1992-09-06,Vitesse,FC Twente,0,1
1992-1993,1992-09-06,Willem II,FC Utrecht,1,2
1992-1993,1992-09-13,Dordrecht `90,Willem II,0,2
1992-1993,1992-09-13,FC Utrecht,FC Groningen,1,0
1992-1993,1992-09-13,Fortuna Sittard,FC Twente,0,2
1992-1993,1992-09-13,Go Ahead Eagles,Feyenoord,1,1
1992-1993,1992-09-13,PSV,FC Den Bosch,7,0
1992-1993,1992-09-13,RKC,Vitesse,0,0
1992-1993,1992-09-13,Sparta,MVV,0,0
1992-1993,1992-09-27,Ajax,Roda JC,4,2
1992-1993,1992-09-27,Cambuur Leeuwarden,RKC,0,2
1992-1993,1992-09-27,FC Den Bosch,FC Volendam,0,5
1992-1993,1992-09-27,FC Groningen,Dordrecht `90,3,0
1992-1993,1992-09-27,FC Twente,FC Utrecht,5,1
1992-1993,1992-09-27,Feyenoord,Sparta,2,2
1992-1993,1992-09-27,MVV,PSV,1,5
1992-1993,1992-09-27,Vitesse,Fortuna Sittard,5,0
1992-1993,1992-09-27,Willem II,Go Ahead Eagles,2,1
1992-1993,1992-10-04,Cambuur Leeuwarden,Vitesse,1,3
1992-1993,1992-10-04,Dordrecht `90,FC Twente,0,0
1992-1993,1992-10-04,FC Utrecht,Fortuna Sittard,4,0
1992-1993,1992-10-04,FC Volendam,MVV,1,2
1992-1993,1992-10-04,Go Ahead Eagles,FC Groningen,0,0
1992-1993,1992-10-04,PSV,Feyenoord,1,1
1992-1993,1992-10-04,RKC,Ajax,0,5
1992-1993,1992-10-04,Roda JC,FC Den Bosch,4,1
1992-1993,1992-10-04,Sparta,Willem II,1,0
1992-1993,1992-10-07,RKC,PSV,0,3
1992-1993,1992-10-11,Roda JC,Cambuur Leeuwarden,3,2
1992-1993,1992-10-18,Ajax,Cambuur Leeuwarden,3,1
1992-1993,1992-10-18,FC Den Bosch,RKC,1,3
1992-1993,1992-10-18,FC Groningen,Sparta,1,2
1992-1993,1992-10-18,FC Twente,Go Ahead Eagles,4,0
1992-1993,1992-10-18,Feyenoord,FC Volendam,2,0
1992-1993,1992-10-18,Fortuna Sittard,Dordrecht `90,0,2
1992-1993,1992-10-18,MVV,Roda JC,2,1
1992-1993,1992-10-18,Vitesse,FC Utrecht,1,1
1992-1993,1992-10-18,Willem II,PSV,1,1
1992-1993,1992-10-25,Cambuur Leeuwarden,FC Den Bosch,2,1
1992-1993,1992-10-25,Go Ahead Eagles,Fortuna Sittard,4,2
1992-1993,1992-10-25,PSV,FC Groningen,3,0
1992-1993,1992-10-25,RKC,MVV,0,3
1992-1993,1992-11-01,FC Den Bosch,Ajax,2,2
1992-1993,1992-11-01,FC Groningen,FC Volendam,2,1
1992-1993,1992-11-01,FC Twente,PSV,1,2
1992-1993,1992-11-01,FC Utrecht,Go Ahead Eagles,0,2
1992-1993,1992-11-01,Feyenoord,RKC,4,1
1992-1993,1992-11-01,Fortuna Sittard,Sparta,1,0
1992-1993,1992-11-01,MVV,Cambuur Leeuwarden,1,3
1992-1993,1992-11-01,Vitesse,Dordrecht `90,3,0
1992-1993,1992-11-01,Willem II,Roda JC,1,0
1992-1993,1992-11-08,Ajax,MVV,2,2
1992-1993,1992-11-08,Cambuur Leeuwarden,Feyenoord,0,1
1992-1993,1992-11-08,FC Den Bosch,Vitesse,0,0
1992-1993,1992-11-08,FC Volendam,FC Twente,1,1
1992-1993,1992-11-08,Go Ahead Eagles,Dordrecht `90,2,1
1992-1993,1992-11-08,PSV,Fortuna Sittard,5,0
1992-1993,1992-11-08,RKC,Willem II,0,0
1992-1993,1992-11-08,Roda JC,FC Groningen,4,2
1992-1993,1992-11-08,Sparta,FC Utrecht,1,3
1992-1993,1992-11-15,Dordrecht `90,Sparta,0,0
1992-1993,1992-11-15,FC Groningen,RKC,2,2
1992-1993,1992-11-15,FC Twente,Roda JC,4,0
1992-1993,1992-11-15,FC Utrecht,PSV,2,0
1992-1993,1992-11-15,Feyenoord,Ajax,0,3
1992-1993,1992-11-15,Fortuna Sittard,FC Volendam,0,0
1992-1993,1992-11-15,MVV,FC Den Bosch,2,1
1992-1993,1992-11-15,Vitesse,Go Ahead Eagles,2,2
1992-1993,1992-11-15,Willem II,Cambuur Leeuwarden,4,0
1992-1993,1992-11-22,Ajax,Willem II,0,0
1992-1993,1992-11-22,Cambuur Leeuwarden,FC Groningen,0,0
1992-1993,1992-11-22,FC Den Bosch,Feyenoord,1,5
1992-1993,1992-11-22,FC Volendam,FC Utrecht,2,2
1992-1993,1992-11-22,MVV,Vitesse,1,0
1992-1993,1992-11-22,PSV,Dordrecht `90,4,1
1992-1993,1992-11-22,RKC,FC Twente,2,1
1992-1993,1992-11-22,Roda JC,Fortuna Sittard,4,1
1992-1993,1992-11-22,Sparta,Go Ahead Eagles,6,4
1992-1993,1992-11-29,Dordrecht `90,FC Volendam,0,4
1992-1993,1992-11-29,FC Groningen,Ajax,0,3
