Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A
N1,27/10/2024,19:00,AZ Alkmaar,Go Ahead Eagles,2.0,2.0,D,1.0,0.0,H,13.0,10.0,6.0,3.0,4.0,6.0,9.0,6.0,3.0,2.0,0.0,0.0,1.53,4.2,6.0
N1,30/10/2024,17:00,Feyenoord,Ajax,0.0,2.0,A,0.0,2.0,A,15.0,8.0,2.0,4.0,3.0,4.0,15.0,13.0,4.0,2.0,0.0,0.0,1.95,3.5,3.9
N1,02/11/2024,15:30,Willem II,Twente,0.0,1.0,A,0.0,0.0,D,8.0,19.0,1.0,6.0,4.0,6.0,10.0,12.0,4.0,1.0,0.0,0.0,5.75,3.6,1.65
N1,02/11/2024,17:45,Ajax,PSV Eindhoven,3.0,2.0,H,1.0,1.0,D,21.0,12.0,8.0,4.0,6.0,1.0,9.0,14.0,2.0,3.0,0.0,0.0,2.88,3.75,2.25
N1,02/11/2024,17:45,Heracles,NAC Breda,2.0,0.0,H,1.0,0.0,H,11.0,11.0,3.0,4.0,2.0,5.0,16.0,12.0,1.0,1.0,0.0,0.0,2.4,3.3,3.0
N1,02/11/2024,20:00,Feyenoord,AZ Alkmaar,3.0,2.0,H,0.0,1.0,A,16.0,9.0,4.0,5.0,10.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,1.67,3.8,5.25
N1,02/11/2024,20:00,For Sittard,Heerenveen,3.0,0.0,H,1.0,0.0,H,6.0,11.0,3.0,2.0,1.0,8.0,8.0,10.0,0.0,0.0,0.0,0.0,2.05,3.4,3.75
N1,03/11/2024,11:15,Go Ahead Eagles,Zwolle,2.0,2.0,D,0.0,2.0,A,16.0,5.0,6.0,3.0,9.0,5.0,12.0,12.0,1.0,1.0,0.0,0.0,1.62,4.0,5.5
N1,03/11/2024,13:30,Nijmegen,Groningen,6.0,0.0,H,3.0,0.0,H,14.0,6.0,6.0,1.0,1.0,4.0,17.0,15.0,1.0,3.0,0.0,0.0,1.85,3.3,4.75
N1,03/11/2024,13:30,Sparta Rotterdam,Utrecht,1.0,4.0,A,0.0,1.0,A,10.0,14.0,3.0,4.0,4.0,4.0,14.0,10.0,1.0,1.0,1.0,0.0,2.63,3.5,2.55
N1,03/11/2024,15:45,Waalwijk,Almere City,2.0,0.0,H,1.0,0.0,H,11.0,8.0,3.0,0.0,4.0,4.0,11.0,9.0,0.0,0.0,0.0,0.0,2.75,3.3,2.6
N1,08/11/2024,19:00,Utrecht,Heracles,1.0,0.0,H,0.0,0.0,D,19.0,10.0,6.0,2.0,4.0,8.0,11.0,13.0,0.0,1.0,0.0,0.0,1.44,4.75,7.0
N1,09/11/2024,15:30,Groningen,Sparta Rotterdam,1.0,0.0,H,1.0,0.0,H,8.0,11.0,5.0,3.0,4.0,5.0,9.0,11.0,1.0,2.0,0.0,0.0,2.63,3.3,2.7
N1,09/11/2024,17:45,Zwolle,For Sittard,3.0,1.0,H,0.0,1.0,A,14.0,14.0,4.0,5.0,5.0,7.0,13.0,15.0,4.0,2.0,1.0,0.0,2.63,3.4,2.63
N1,09/11/2024,19:00,NAC Breda,PSV Eindhoven,0.0,3.0,A,0.0,2.0,A,11.0,20.0,3.0,10.0,5.0,9.0,13.0,9.0,2.0,2.0,0.0,0.0,8.5,7.0,1.27
N1,09/11/2024,20:00,Waalwijk,Nijmegen,0.0,3.0,A,0.0,0.0,D,10.0,20.0,3.0,8.0,4.0,10.0,6.0,12.0,2.0,1.0,1.0,0.0,4.2,3.6,1.85
N1,10/11/2024,11:15,Almere City,Feyenoord,1.0,4.0,A,1.0,2.0,A,8.0,20.0,4.0,11.0,0.0,9.0,14.0,5.0,2.0,0.0,0.0,0.0,11.0,4.75,1.3
N1,10/11/2024,13:30,Heerenveen,Go Ahead Eagles,1.0,0.0,H,1.0,0.0,H,4.0,12.0,1.0,3.0,2.0,6.0,11.0,11.0,2.0,2.0,0.0,0.0,2.35,3.5,2.88
N1,10/11/2024,13:30,Twente,Ajax,2.0,2.0,D,1.0,0.0,H,17.0,11.0,7.0,6.0,5.0,4.0,13.0,5.0,1.0,1.0,0.0,0.0,2.55,3.4,2.7
N1,10/11/2024,15:45,AZ Alkmaar,Willem II,1.0,2.0,A,0.0,2.0,A,30.0,7.0,3.0,3.0,10.0,1.0,7.0,10.0,0.0,3.0,0.0,0.0,1.48,4.2,7.0
N1,23/11/2024,15:30,Go Ahead Eagles,Almere City,3.0,0.0,H,2.0,0.0,H,20.0,8.0,9.0,1.0,5.0,4.0,7.0,6.0,0.0,0.0,0.0,0.0,1.57,4.0,6.0
