season,date,home_team,away_team,home_score,away_score
2004-2005,2004-08-20,Vitesse,FC Groningen,1,0
2004-2005,2004-08-21,ADO Den Haag,NEC,1,2
2004-2005,2004-08-21,PSV,AZ,5,1
2004-2005,2004-08-21,RKC Waalwijk,FC Twente,1,0
2004-2005,2004-08-21,SC Heerenveen,Roda JC,3,4
2004-2005,2004-08-22,Ajax,NAC Breda,6,2
2004-2005,2004-08-22,De Graafschap,FC Den Bosch,1,1
2004-2005,2004-08-22,FC Utrecht,RBC Roosendaal,5,1
2004-2005,2004-08-22,Willem II,Feyenoord,0,4
2004-2005,2004-08-27,FC Den Bosch,Willem II,1,2
2004-2005,2004-08-28,FC Twente,SC Heerenveen,4,1
2004-2005,2004-08-28,NAC Breda,PSV,2,2
2004-2005,2004-08-28,NEC,AZ,1,2
2004-2005,2004-08-28,Roda JC,De Graafschap,2,1
2004-2005,2004-08-29,Ajax,FC Utrecht,1,1
2004-2005,2004-08-29,RBC Roosendaal,FC Groningen,2,2
2004-2005,2004-08-29,RKC Waalwijk,ADO Den Haag,1,3
2004-2005,2004-08-29,Vitesse,Feyenoord,1,1
2004-2005,2004-09-10,AZ,FC Den Bosch,5,0
2004-2005,2004-09-11,PSV,RKC Waalwijk,1,0
2004-2005,2004-09-11,RBC Roosendaal,Vitesse,4,1
2004-2005,2004-09-11,SC Heerenveen,De Graafschap,2,0
2004-2005,2004-09-11,Willem II,Roda JC,3,1
2004-2005,2004-09-12,ADO Den Haag,Ajax,3,3
2004-2005,2004-09-12,FC Groningen,NAC Breda,2,3
2004-2005,2004-09-12,FC Utrecht,NEC,1,0
2004-2005,2004-09-12,Feyenoord,FC Twente,3,1
2004-2005,2004-09-17,ADO Den Haag,Vitesse,0,4
2004-2005,2004-09-18,De Graafschap,FC Groningen,2,2
2004-2005,2004-09-18,FC Twente,Willem II,0,0
2004-2005,2004-09-18,NEC,PSV,0,3
2004-2005,2004-09-18,RKC Waalwijk,RBC Roosendaal,2,0
2004-2005,2004-09-18,SC Heerenveen,NAC Breda,3,0
2004-2005,2004-09-19,FC Den Bosch,Ajax,0,5
2004-2005,2004-09-19,Feyenoord,FC Utrecht,0,3
2004-2005,2004-09-19,Roda JC,AZ,1,1
2004-2005,2004-09-25,Ajax,Roda JC,1,0
2004-2005,2004-09-25,AZ,Willem II,3,1
2004-2005,2004-09-25,PSV,SC Heerenveen,4,0
2004-2005,2004-09-25,RBC Roosendaal,Feyenoord,0,4
2004-2005,2004-09-25,Vitesse,FC Den Bosch,0,0
2004-2005,2004-09-26,De Graafschap,FC Twente,0,0
2004-2005,2004-09-26,FC Groningen,NEC,0,0
2004-2005,2004-09-26,FC Utrecht,ADO Den Haag,2,0
2004-2005,2004-09-26,NAC Breda,RKC Waalwijk,0,4
2004-2005,2004-10-01,NEC,RBC Roosendaal,3,0
2004-2005,2004-10-02,FC Twente,Roda JC,2,3
2004-2005,2004-10-02,NAC Breda,De Graafschap,3,2
2004-2005,2004-10-02,PSV,FC Groningen,3,0
2004-2005,2004-10-02,Willem II,Vitesse,3,2
2004-2005,2004-10-03,AZ,Ajax,0,0
2004-2005,2004-10-03,FC Utrecht,RKC Waalwijk,3,2
2004-2005,2004-10-03,Feyenoord,FC Den Bosch,4,2
2004-2005,2004-10-03,SC Heerenveen,ADO Den Haag,1,0
2004-2005,2004-10-15,De Graafschap,AZ,1,3
2004-2005,2004-10-16,ADO Den Haag,PSV,0,2
2004-2005,2004-10-16,Ajax,SC Heerenveen,1,3
2004-2005,2004-10-16,FC Den Bosch,RBC Roosendaal,2,1
2004-2005,2004-10-17,FC Groningen,FC Utrecht,3,0
2004-2005,2004-10-17,RKC Waalwijk,NEC,2,2
2004-2005,2004-10-17,Roda JC,Feyenoord,0,2
2004-2005,2004-10-17,Vitesse,NAC Breda,1,2
2004-2005,2004-10-22,Willem II,FC Groningen,4,2
2004-2005,2004-10-23,NEC,NAC Breda,3,3
2004-2005,2004-10-23,RBC Roosendaal,FC Twente,0,1
2004-2005,2004-10-23,Vitesse,AZ,0,3
2004-2005,2004-10-24,De Graafschap,ADO Den Haag,1,2
2004-2005,2004-10-24,Feyenoord,RKC Waalwijk,4,0
2004-2005,2004-10-24,PSV,Ajax,2,0
2004-2005,2004-10-24,Roda JC,FC Den Bosch,5,0
2004-2005,2004-10-24,SC Heerenveen,FC Utrecht,2,1
2004-2005,2004-10-27,ADO Den Haag,FC Twente,0,1
2004-2005,2004-10-27,De Graafschap,Willem II,2,2
2004-2005,2004-10-27,NAC Breda,Roda JC,4,0
2004-2005,2004-10-29,FC Utrecht,PSV,0,0
2004-2005,2004-10-30,FC Twente,Vitesse,1,4
2004-2005,2004-10-30,Roda JC,RKC Waalwijk,1,1
2004-2005,2004-10-30,Willem II,RBC Roosendaal,3,0
2004-2005,2004-10-31,Ajax,NEC,1,0
2004-2005,2004-10-31,AZ,Feyenoord,4,1
2004-2005,2004-10-31,FC Den Bosch,SC Heerenveen,2,4
2004-2005,2004-10-31,FC Groningen,ADO Den Haag,4,3
2004-2005,2004-11-05,RBC Roosendaal,De Graafschap,3,0
2004-2005,2004-11-06,RKC Waalwijk,SC Heerenveen,0,0
2004-2005,2004-11-07,AZ,FC Utrecht,4,0
2004-2005,2004-11-07,FC Den Bosch,PSV,0,3
2004-2005,2004-11-07,FC Twente,FC Groningen,1,2
2004-2005,2004-11-07,Feyenoord,NAC Breda,4,0
2004-2005,2004-11-07,Vitesse,NEC,1,0
2004-2005,2004-11-07,Willem II,Ajax,1,3
2004-2005,2004-11-12,ADO Den Haag,RBC Roosendaal,5,1
2004-2005,2004-11-13,NAC Breda,AZ,0,3
2004-2005,2004-11-13,NEC,FC Twente,0,2
2004-2005,2004-11-13,PSV,Willem II,1,0
2004-2005,2004-11-13,SC Heerenveen,Vitesse,0,3
2004-2005,2004-11-14,Ajax,Feyenoord,1,1
2004-2005,2004-11-14,FC Groningen,FC Den Bosch,3,1
2004-2005,2004-11-14,FC Utrecht,Roda JC,1,1
2004-2005,2004-11-14,RKC Waalwijk,De Graafschap,2,2
2004-2005,2004-11-19,Roda JC,ADO Den Haag,1,1
2004-2005,2004-11-20,AZ,RKC Waalwijk,3,0
2004-2005,2004-11-20,De Graafschap,Ajax,0,5
2004-2005,2004-11-20,RBC Roosendaal,SC Heerenveen,1,3
2004-2005,2004-11-21,FC Den Bosch,NEC,0,0
2004-2005,2004-11-21,FC Twente,FC Utrecht,0,1
2004-2005,2004-11-21,Feyenoord,FC Groningen,1,2
2004-2005,2004-11-21,Vitesse,PSV,0,2
2004-2005,2004-11-21,Willem II,NAC Breda,0,1
2004-2005,2004-11-26,RKC Waalwijk,Vitesse,2,2
2004-2005,2004-11-27,ADO Den Haag,Willem II,0,1
2004-2005,2004-11-27,NEC,Roda JC,1,1
2004-2005,2004-11-27,PSV,FC Twente,2,0
2004-2005,2004-11-28,Ajax,RBC Roosendaal,4,1
2004-2005,2004-11-28,FC Groningen,AZ,1,2
2004-2005,2004-11-28,FC Utrecht,De Graafschap,1,0
2004-2005,2004-11-28,NAC Breda,FC Den Bosch,3,0
2004-2005,2004-11-28,SC Heerenveen,Feyenoord,2,2
2004-2005,2004-12-03,RKC Waalwijk,Ajax,1,2
2004-2005,2004-12-04,De Graafschap,PSV,0,4
2004-2005,2004-12-04,FC Twente,FC Den Bosch,4,0
2004-2005,2004-12-04,RBC Roosendaal,NAC Breda,0,0
2004-2005,2004-12-04,Roda JC,FC Groningen,5,1
2004-2005,2004-12-05,AZ,ADO Den Haag,2,0
2004-2005,2004-12-05,Feyenoord,NEC,2,1
2004-2005,2004-12-05,Vitesse,FC Utrecht,2,1
2004-2005,2004-12-05,Willem II,SC Heerenveen,2,2
2004-2005,2004-12-10,SC Heerenveen,FC Groningen,1,0
2004-2005,2004-12-11,AZ,FC Twente,5,0
2004-2005,2004-12-11,FC Den Bosch,RKC Waalwijk,0,2
2004-2005,2004-12-11,Roda JC,RBC Roosendaal,3,1
2004-2005,2004-12-11,Willem II,FC Utrecht,0,0
2004-2005,2004-12-12,Ajax,Vitesse,1,0
2004-2005,2004-12-12,De Graafschap,NEC,3,2
2004-2005,2004-12-12,Feyenoord,PSV,3,3
2004-2005,2004-12-12,NAC Breda,ADO Den Haag,1,1
2004-2005,2004-12-16,Vitesse,De Graafschap,3,1
2004-2005,2004-12-17,FC Twente,NAC Breda,0,0
2004-2005,2004-12-18,PSV,Roda JC,0,2
2004-2005,2004-12-18,RBC Roosendaal,AZ,0,2
2004-2005,2004-12-18,RKC Waalwijk,Willem II,1,0
2004-2005,2004-12-19,ADO Den Haag,Feyenoord,2,0
2004-2005,2004-12-19,FC Groningen,Ajax,0,4
2004-2005,2004-12-19,FC Utrecht,FC Den Bosch,1,0
2004-2005,2004-12-19,NEC,SC Heerenveen,3,2
2004-2005,2005-01-21,AZ,NEC,1,1
2004-2005,2005-01-22,De Graafschap,Roda JC,2,0
2004-2005,2005-01-22,PSV,NAC Breda,4,0
2004-2005,2005-01-22,SC Heerenveen,FC Den Bosch,2,1
2004-2005,2005-01-22,Willem II,FC Twente,0,3
2004-2005,2005-01-23,ADO Den Haag,FC Groningen,0,3
2004-2005,2005-01-23,FC Utrecht,Ajax,0,2
2004-2005,2005-01-23,Feyenoord,Vitesse,1,2
2004-2005,2005-01-23,RBC Roosendaal,RKC Waalwijk,0,1
2004-2005,2005-01-28,Roda JC,Willem II,4,0
2004-2005,2005-01-29,FC Den Bosch,AZ,0,1
2004-2005,2005-01-29,FC Twente,Feyenoord,0,0
2004-2005,2005-01-29,Vitesse,RBC Roosendaal,1,3
2004-2005,2005-01-30,Ajax,ADO Den Haag,0,0
2004-2005,2005-01-30,FC Groningen,De Graafschap,1,0
2004-2005,2005-01-30,NAC Breda,SC Heerenveen,1,1
2004-2005,2005-01-30,NEC,FC Utrecht,0,0
2004-2005,2005-01-30,RKC Waalwijk,PSV,1,4
2004-2005,2005-02-02,PSV,RBC Roosendaal,4,1
2004-2005,2005-02-04,De Graafschap,Feyenoord,2,7
2004-2005,2005-02-04,Willem II,NEC,3,1
2004-2005,2005-02-05,ADO Den Haag,FC Den Bosch,2,0
2004-2005,2005-02-05,SC Heerenveen,AZ,1,3
2004-2005,2005-02-06,Ajax,FC Twente,1,2
2004-2005,2005-02-06,FC Utrecht,NAC Breda,2,0
2004-2005,2005-02-06,RKC Waalwijk,FC Groningen,3,0
2004-2005,2005-02-06,Vitesse,Roda JC,3,0
2004-2005,2005-02-11,FC Groningen,Vitesse,0,0
2004-2005,2005-02-12,AZ,PSV,0,0
2004-2005,2005-02-12,FC Twente,RKC Waalwijk,3,1
2004-2005,2005-02-12,RBC Roosendaal,FC Utrecht,0,1
2004-2005,2005-02-12,Roda JC,SC Heerenveen,2,3
2004-2005,2005-02-13,FC Den Bosch,De Graafschap,0,2
2004-2005,2005-02-13,Feyenoord,Willem II,7,0
2004-2005,2005-02-13,NAC Breda,Ajax,1,2
2004-2005,2005-02-13,NEC,ADO Den Haag,1,1
2004-2005,2005-02-18,RBC Roosendaal,Willem II,2,0
2004-2005,2005-02-19,PSV,NEC,4,1
2004-2005,2005-02-20,Ajax,FC Den Bosch,2,0
2004-2005,2005-02-20,AZ,Roda JC,1,1
2004-2005,2005-02-20,De Graafschap,SC Heerenveen,2,1
2004-2005,2005-02-20,FC Groningen,FC Twente,0,1
2004-2005,2005-02-20,FC Utrecht,Feyenoord,0,2
2004-2005,2005-02-20,RKC Waalwijk,NAC Breda,1,0
2004-2005,2005-02-20,Vitesse,ADO Den Haag,3,4
2004-2005,2005-02-25,NEC,RKC Waalwijk,1,0
2004-2005,2005-02-26,FC Twente,De Graafschap,0,0
2004-2005,2005-02-26,NAC Breda,FC Groningen,1,4
2004-2005,2005-02-27,ADO Den Haag,FC Utrecht,1,0
2004-2005,2005-02-27,FC Den Bosch,Vitesse,1,2
2004-2005,2005-02-27,Feyenoord,RBC Roosendaal,3,0
2004-2005,2005-02-27,Roda JC,Ajax,1,2
2004-2005,2005-02-27,SC Heerenveen,PSV,0,3
2004-2005,2005-02-27,Willem II,AZ,1,3
2004-2005,2005-03-04,RBC Roosendaal,NEC,1,0
2004-2005,2005-03-05,RKC Waalwijk,FC Utrecht,2,2
2004-2005,2005-03-05,Vitesse,Willem II,2,0
2004-2005,2005-03-06,De Graafschap,NAC Breda,0,2
2004-2005,2005-03-06,Roda JC,FC Twente,1,2
2004-2005,2005-03-11,FC Twente,RBC Roosendaal,3,0
2004-2005,2005-03-12,NAC Breda,Vitesse,1,2
2004-2005,2005-03-12,SC Heerenveen,RKC Waalwijk,1,2
2004-2005,2005-03-12,Willem II,FC Den Bosch,2,1
2004-2005,2005-03-13,AZ,De Graafschap,3,2
2004-2005,2005-03-13,FC Utrecht,FC Groningen,1,2
2004-2005,2005-03-13,Feyenoord,Roda JC,4,1
2004-2005,2005-03-13,NEC,Ajax,0,1
2004-2005,2005-03-13,PSV,ADO Den Haag,4,0
2004-2005,2005-03-16,ADO Den Haag,SC Heerenveen,0,2
2004-2005,2005-03-17,FC Groningen,PSV,0,1
2004-2005,2005-03-18,FC Den Bosch,Roda JC,0,3
2004-2005,2005-03-19,AZ,Vitesse,3,0
2004-2005,2005-03-19,De Graafschap,RBC Roosendaal,0,1
2004-2005,2005-03-19,NAC Breda,NEC,1,2
2004-2005,2005-03-19,RKC Waalwijk,Feyenoord,2,4
2004-2005,2005-03-20,Ajax,PSV,0,4
2004-2005,2005-03-20,FC Groningen,Willem II,1,1
2004-2005,2005-03-20,FC Twente,ADO Den Haag,2,1
2004-2005,2005-03-20,FC Utrecht,SC Heerenveen,0,1
2004-2005,2005-04-01,Vitesse,FC Twente,1,1
2004-2005,2005-04-02,ADO Den Haag,RKC Waalwijk,0,0
2004-2005,2005-04-02,Feyenoord,AZ,4,2
2004-2005,2005-04-02,NEC,FC Groningen,4,3
2004-2005,2005-04-02,PSV,FC Utrecht,2,0
2004-2005,2005-04-02,RBC Roosendaal,FC Den Bosch,1,2
2004-2005,2005-04-02,Roda JC,NAC Breda,2,1
2004-2005,2005-04-02,SC Heerenveen,Ajax,2,1
2004-2005,2005-04-02,Willem II,De Graafschap,4,1
2004-2005,2005-04-07,Ajax,Willem II,2,0
2004-2005,2005-04-08,ADO Den Haag,De Graafschap,2,0
2004-2005,2005-04-09,FC Groningen,RBC Roosendaal,3,0
2004-2005,2005-04-09,PSV,FC Den Bosch,3,0
2004-2005,2005-04-09,SC Heerenveen,FC Twente,1,2
2004-2005,2005-04-10,Ajax,AZ,4,2
2004-2005,2005-04-10,NAC Breda,Feyenoord,0,2
2004-2005,2005-04-10,NEC,Vitesse,1,1
2004-2005,2005-04-10,RKC Waalwijk,Roda JC,1,0
2004-2005,2005-04-13,FC Den Bosch,Feyenoord,4,1
2004-2005,2005-04-15,Roda JC,FC Utrecht,3,2
2004-2005,2005-04-16,De Graafschap,RKC Waalwijk,2,4
2004-2005,2005-04-16,RBC Roosendaal,ADO Den Haag,2,0
2004-2005,2005-04-16,Vitesse,SC Heerenveen,1,3
2004-2005,2005-04-17,AZ,NAC Breda,1,1
2004-2005,2005-04-17,FC Den Bosch,FC Groningen,1,2
2004-2005,2005-04-17,FC Twente,NEC,2,1
2004-2005,2005-04-17,FC Utrecht,AZ,3,2
2004-2005,2005-04-17,Feyenoord,Ajax,2,3
2004-2005,2005-04-17,Willem II,PSV,0,1
2004-2005,2005-04-22,SC Heerenveen,RBC Roosendaal,7,1
2004-2005,2005-04-23,ADO Den Haag,Roda JC,1,4
2004-2005,2005-04-23,PSV,Vitesse,3,0
2004-2005,2005-04-23,RKC Waalwijk,AZ,2,1
2004-2005,2005-04-24,Ajax,De Graafschap,1,0
2004-2005,2005-04-24,FC Groningen,Feyenoord,0,2
2004-2005,2005-04-24,FC Utrecht,FC Twente,2,2
2004-2005,2005-04-24,NAC Breda,Willem II,1,2
2004-2005,2005-04-24,NEC,FC Den Bosch,2,2
2004-2005,2005-04-29,FC Twente,PSV,2,2
2004-2005,2005-04-29,Roda JC,NEC,1,0
2004-2005,2005-04-30,RBC Roosendaal,Ajax,1,4
2004-2005,2005-05-01,AZ,FC Groningen,2,1
2004-2005,2005-05-01,De Graafschap,FC Utrecht,0,0
2004-2005,2005-05-01,FC Den Bosch,NAC Breda,0,2
2004-2005,2005-05-01,Feyenoord,SC Heerenveen,1,3
2004-2005,2005-05-01,Vitesse,RKC Waalwijk,3,1
2004-2005,2005-05-01,Willem II,ADO Den Haag,1,0
2004-2005,2005-05-06,NAC Breda,RBC Roosendaal,1,2
2004-2005,2005-05-07,Ajax,RKC Waalwijk,4,0
2004-2005,2005-05-07,FC Den Bosch,FC Twente,1,0
2004-2005,2005-05-07,SC Heerenveen,Willem II,2,2
2004-2005,2005-05-08,ADO Den Haag,AZ,2,1
2004-2005,2005-05-08,FC Groningen,Roda JC,4,4
2004-2005,2005-05-08,FC Utrecht,Vitesse,1,2
2004-2005,2005-05-08,NEC,Feyenoord,2,0
2004-2005,2005-05-08,PSV,De Graafschap,4,1
2004-2005,2005-05-15,ADO Den Haag,NAC Breda,6,2
2004-2005,2005-05-15,FC Groningen,SC Heerenveen,1,2
2004-2005,2005-05-15,FC Twente,AZ,3,0
2004-2005,2005-05-15,FC Utrecht,Willem II,0,3
2004-2005,2005-05-15,NEC,De Graafschap,3,0
2004-2005,2005-05-15,PSV,Feyenoord,4,2
2004-2005,2005-05-15,RBC Roosendaal,Roda JC,3,1
2004-2005,2005-05-15,RKC Waalwijk,FC Den Bosch,2,0
2004-2005,2005-05-15,Vitesse,Ajax,0,2
2004-2005,2005-05-22,Ajax,FC Groningen,2,1
2004-2005,2005-05-22,AZ,RBC Roosendaal,1,3
2004-2005,2005-05-22,De Graafschap,Vitesse,1,2
2004-2005,2005-05-22,FC Den Bosch,FC Utrecht,0,3
2004-2005,2005-05-22,Feyenoord,ADO Den Haag,6,3
2004-2005,2005-05-22,NAC Breda,FC Twente,1,1
2004-2005,2005-05-22,Roda JC,PSV,0,0
2004-2005,2005-05-22,SC Heerenveen,NEC,2,1
2004-2005,2005-05-22,Willem II,RKC Waalwijk,3,0
2005-2006,2005-08-12,AZ,Sparta Rotterdam,3,0
2005-2006,2005-08-13,Heracles Almelo,PSV,1,1
2005-2006,2005-08-13,Roda JC,FC Twente,2,0
2005-2006,2005-08-13,Vitesse,SC Heerenveen,2,2
2005-2006,2005-08-13,Willem II,RKC Waalwijk,1,2
2005-2006,2005-08-14,FC Groningen,RBC Roosendaal,1,0
2005-2006,2005-08-14,Feyenoord,NAC Breda,2,0
2005-2006,2005-08-14,NEC,FC Utrecht,0,0
2005-2006,2005-08-19,NAC Breda,Willem II,1,0
2005-2006,2005-08-20,ADO Den Haag,Heracles Almelo,1,2
2005-2006,2005-08-20,FC Twente,NEC,0,1
2005-2006,2005-08-20,RBC Roosendaal,Ajax,0,2
2005-2006,2005-08-20,SC Heerenveen,Roda JC,5,4
2005-2006,2005-08-21,FC Utrecht,AZ,1,2
2005-2006,2005-08-21,PSV,Vitesse,2,1
2005-2006,2005-08-21,RKC Waalwijk,FC Groningen,2,1
2005-2006,2005-08-21,Sparta Rotterdam,Feyenoord,1,3
2005-2006,2005-08-26,ADO Den Haag,SC Heerenveen,1,0
2005-2006,2005-08-27,NEC,RKC Waalwijk,1,3
2005-2006,2005-08-27,Sparta Rotterdam,NAC Breda,1,0
2005-2006,2005-08-27,Vitesse,AZ,0,5
2005-2006,2005-08-28,Ajax,Feyenoord,1,2
2005-2006,2005-08-28,FC Utrecht,FC Twente,1,3
2005-2006,2005-08-28,Heracles Almelo,FC Groningen,2,1
2005-2006,2005-08-28,RBC Roosendaal,Willem II,1,1
2005-2006,2005-08-28,Roda JC,PSV,0,3
2005-2006,2005-09-09,RKC Waalwijk,Roda JC,2,0
2005-2006,2005-09-10,AZ,RBC Roosendaal,7,0
2005-2006,2005-09-10,PSV,FC Utrecht,1,0
2005-2006,2005-09-10,SC Heerenveen,Heracles Almelo,1,2
2005-2006,2005-09-10,Willem II,Ajax,0,2
2005-2006,2005-09-11,FC Groningen,Sparta Rotterdam,0,1
2005-2006,2005-09-11,FC Twente,Vitesse,0,1
2005-2006,2005-09-11,Feyenoord,NEC,3,0
2005-2006,2005-09-11,NAC Breda,ADO Den Haag,4,1
2005-2006,2005-09-16,ADO Den Haag,FC Twente,0,0
2005-2006,2005-09-17,Heracles Almelo,RKC Waalwijk,0,2
2005-2006,2005-09-17,NEC,NAC Breda,1,1
2005-2006,2005-09-17,RBC Roosendaal,Sparta Rotterdam,1,1
2005-2006,2005-09-18,AZ,Ajax,4,2
2005-2006,2005-09-18,FC Groningen,PSV,1,0
2005-2006,2005-09-18,FC Utrecht,Vitesse,1,0
2005-2006,2005-09-18,Feyenoord,SC Heerenveen,5,1
2005-2006,2005-09-18,Roda JC,Willem II,0,2
2005-2006,2005-09-21,Ajax,ADO Den Haag,2,2
2005-2006,2005-09-23,SC Heerenveen,NEC,2,1
2005-2006,2005-09-24,Ajax,Roda JC,4,1
2005-2006,2005-09-24,PSV,RBC Roosendaal,2,0
2005-2006,2005-09-24,RKC Waalwijk,FC Utrecht,2,3
2005-2006,2005-09-24,Vitesse,FC Groningen,2,0
2005-2006,2005-09-24,Willem II,ADO Den Haag,1,0
2005-2006,2005-09-25,FC Twente,Feyenoord,1,3
2005-2006,2005-09-25,NAC Breda,AZ,2,1
2005-2006,2005-09-25,Sparta Rotterdam,Heracles Almelo,2,0
2005-2006,2005-09-30,RBC Roosendaal,NAC Breda,1,2
2005-2006,2005-10-01,ADO Den Haag,RKC Waalwijk,2,1
2005-2006,2005-10-01,Roda JC,Vitesse,3,2
2005-2006,2005-10-02,AZ,NEC,3,2
2005-2006,2005-10-02,FC Groningen,Willem II,2,0
2005-2006,2005-10-02,FC Utrecht,Feyenoord,3,1
2005-2006,2005-10-02,Heracles Almelo,FC Twente,0,4
2005-2006,2005-10-02,SC Heerenveen,PSV,2,3
2005-2006,2005-10-02,Sparta Rotterdam,Ajax,1,2
2005-2006,2005-10-14,Willem II,Sparta Rotterdam,0,0
2005-2006,2005-10-15,Ajax,Heracles Almelo,0,0
2005-2006,2005-10-15,FC Twente,RKC Waalwijk,2,0
2005-2006,2005-10-15,NAC Breda,SC Heerenveen,0,3
2005-2006,2005-10-15,PSV,AZ,3,0
2005-2006,2005-10-16,Feyenoord,FC Groningen,4,1
2005-2006,2005-10-16,NEC,RBC Roosendaal,3,1
2005-2006,2005-10-16,Roda JC,FC Utrecht,2,1
2005-2006,2005-10-16,Vitesse,ADO Den Haag,3,1
2005-2006,2005-10-21,Heracles Almelo,NEC,0,2
2005-2006,2005-10-22,NAC Breda,FC Twente,1,1
2005-2006,2005-10-22,RBC Roosendaal,Vitesse,0,3
2005-2006,2005-10-22,Sparta Rotterdam,Roda JC,2,3
2005-2006,2005-10-23,AZ,Willem II,5,1
2005-2006,2005-10-23,FC Groningen,ADO Den Haag,3,1
2005-2006,2005-10-23,PSV,Ajax,1,0
2005-2006,2005-10-23,RKC Waalwijk,Feyenoord,2,1
2005-2006,2005-10-23,SC Heerenveen,FC Utrecht,1,1
2005-2006,2005-10-28,Ajax,SC Heerenveen,0,0
2005-2006,2005-10-29,ADO Den Haag,AZ,0,2
2005-2006,2005-10-29,FC Twente,PSV,0,1
2005-2006,2005-10-29,RKC Waalwijk,NAC Breda,4,1
2005-2006,2005-10-29,Vitesse,Heracles Almelo,5,1
2005-2006,2005-10-30,FC Groningen,Roda JC,1,0
2005-2006,2005-10-30,FC Utrecht,RBC Roosendaal,4,1
2005-2006,2005-10-30,NEC,Sparta Rotterdam,0,0
2005-2006,2005-10-30,Willem II,Feyenoord,1,3
2005-2006,2005-11-04,RBC Roosendaal,RKC Waalwijk,1,1
2005-2006,2005-11-05,AZ,Heracles Almelo,2,2
2005-2006,2005-11-05,FC Twente,Willem II,3,1
2005-2006,2005-11-05,PSV,Sparta Rotterdam,3,0
2005-2006,2005-11-05,Roda JC,NAC Breda,3,3
2005-2006,2005-11-06,FC Utrecht,ADO Den Haag,1,1
2005-2006,2005-11-06,Feyenoord,Vitesse,0,0
2005-2006,2005-11-06,NEC,Ajax,1,0
2005-2006,2005-11-06,SC Heerenveen,FC Groningen,4,0
2005-2006,2005-11-18,Willem II,Vitesse,3,4
2005-2006,2005-11-19,ADO Den Haag,NEC,0,1
2005-2006,2005-11-19,Ajax,FC Twente,2,0
2005-2006,2005-11-19,NAC Breda,FC Utrecht,0,1
2005-2006,2005-11-19,RKC Waalwijk,PSV,4,4
2005-2006,2005-11-20,FC Groningen,AZ,0,0
2005-2006,2005-11-20,Heracles Almelo,RBC Roosendaal,3,0
2005-2006,2005-11-20,Roda JC,Feyenoord,2,3
2005-2006,2005-11-20,Sparta Rotterdam,SC Heerenveen,1,2
2005-2006,2005-11-27,AZ,Roda JC,2,0
2005-2006,2005-11-27,FC Utrecht,Ajax,1,0
2005-2006,2005-11-27,Feyenoord,Heracles Almelo,7,1
2005-2006,2005-11-27,PSV,ADO Den Haag,3,0
2005-2006,2005-11-27,SC Heerenveen,RBC Roosendaal,2,0
2005-2006,2005-11-29,Vitesse,RKC Waalwijk,4,2
2005-2006,2005-11-30,FC Twente,Sparta Rotterdam,1,0
2005-2006,2005-11-30,NAC Breda,FC Groningen,2,2
2005-2006,2005-11-30,NEC,Willem II,2,0
2005-2006,2005-12-02,Heracles Almelo,Roda JC,0,1
2005-2006,2005-12-03,AZ,SC Heerenveen,2,1
2005-2006,2005-12-03,PSV,NAC Breda,3,0
2005-2006,2005-12-03,RBC Roosendaal,Feyenoord,2,2
2005-2006,2005-12-04,Ajax,RKC Waalwijk,4,1
2005-2006,2005-12-04,FC Groningen,FC Twente,1,0
2005-2006,2005-12-04,NEC,Vitesse,1,0
2005-2006,2005-12-04,Sparta Rotterdam,ADO Den Haag,2,3
2005-2006,2005-12-09,Roda JC,NEC,0,1
2005-2006,2005-12-10,ADO Den Haag,RBC Roosendaal,3,0
2005-2006,2005-12-10,FC Twente,AZ,1,3
2005-2006,2005-12-10,NAC Breda,Heracles Almelo,2,1
2005-2006,2005-12-10,SC Heerenveen,Willem II,3,3
2005-2006,2005-12-11,FC Utrecht,FC Groningen,0,2
2005-2006,2005-12-11,Feyenoord,PSV,1,0
2005-2006,2005-12-11,RKC Waalwijk,Sparta Rotterdam,3,2
2005-2006,2005-12-11,Vitesse,Ajax,0,2
2005-2006,2005-12-14,Willem II,FC Utrecht,0,1
2005-2006,2005-12-16,Sparta Rotterdam,Vitesse,1,0
2005-2006,2005-12-17,PSV,Willem II,4,1
2005-2006,2005-12-17,RBC Roosendaal,Roda JC,0,2
2005-2006,2005-12-17,SC Heerenveen,FC Twente,3,1
2005-2006,2005-12-18,ADO Den Haag,Feyenoord,2,1
2005-2006,2005-12-18,AZ,RKC Waalwijk,3,0
2005-2006,2005-12-18,FC Groningen,NEC,3,0
2005-2006,2005-12-18,Heracles Almelo,FC Utrecht,1,1
2005-2006,2005-12-18,NAC Breda,Ajax,0,2
2005-2006,2005-12-26,FC Twente,RBC Roosendaal,4,1
2005-2006,2005-12-26,FC Utrecht,Sparta Rotterdam,1,1
2005-2006,2005-12-26,Feyenoord,AZ,2,0
2005-2006,2005-12-26,NEC,PSV,0,2
2005-2006,2005-12-27,Ajax,FC Groningen,3,2
2005-2006,2005-12-27,RKC Waalwijk,SC Heerenveen,2,2
2005-2006,2005-12-27,Roda JC,ADO Den Haag,3,1
2005-2006,2005-12-27,Vitesse,NAC Breda,2,1
2005-2006,2005-12-29,Feyenoord,Willem II,6,1
2005-2006,2005-12-29,PSV,FC Twente,1,1
2005-2006,2005-12-29,RBC Roosendaal,FC Utrecht,1,2
2005-2006,2005-12-30,Heracles Almelo,Vitesse,3,1
