season,date,home_team,away_team,home_score,away_score,match_result,match_result_numeric,home_elo,away_elo,home_form_score,away_form_score,home_goal_difference,away_goal_difference,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_goal_diff,last10_h2h_home_wins,last10_h2h_away_wins,last10_h2h_draws,last100_h2h_goal_diff,last10_h2h_goal_diff,home_team_home_win_pct,away_team_away_win_pct,elo_difference
1956-1957,1956-11-25,MVV,Eindhoven,3,0,home_win,1,1025.2412578383803,947.3719678689006,9.4,3.8,1,-8,0,0,0,0,0,0,0,0,0.0,0.75,0.25,77.86928996947972
1956-1957,1956-11-25,PSV,VVV-Venlo,0,1,away_win,-1,998.3990558482362,1025.3760598330668,17.4,11.4,5,1,0,0,0,0,0,0,0,0,0.0,0.25,0.5,-26.977003984830617
1956-1957,1956-12-02,VVV-Venlo,Fortuna Sittard,2,3,away_win,-1,1040.1362135283955,1023.1616451314984,16.799999999999997,15.0,4,0,0,0,0,0,0,0,0,0,0.0,0.75,0.25,16.974568396897098
1956-1957,1956-12-02,Sparta Rotterdam,Feyenoord,0,4,away_win,-1,1002.466486636257,1041.3982139516904,13.4,12.399999999999999,8,3,0,0,0,0,0,0,0,0,0.0,0.4,0.2,-38.93172731543348
1956-1957,1956-12-02,NOAD,BVV Den Bosch,0,0,draw,0,1016.8050518416081,938.6609633745461,14.799999999999999,3.0,1,-10,0,0,0,0,0,0,0,0,0.0,0.6,0.2,78.14408846706203
1956-1957,1956-12-02,NAC Breda,Willem II,2,1,home_win,1,1038.2556879832614,928.60861493106,11.4,0.0,-2,-11,0,0,0,0,0,0,0,0,0.0,0.8,0.2,109.64707305220145
1956-1957,1956-12-02,Eindhoven,Roda JC,0,2,away_win,-1,934.8991189566143,988.2058457447624,4.6,8.4,-9,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-53.306726788148126
1956-1957,1956-12-02,GVAV,Elinkwijk,1,2,away_win,-1,985.9480069089914,927.6014984209273,5.199999999999999,0.0,-2,-10,0,0,0,0,0,0,0,0,0.0,0.4,0.4,58.346508488064046
1956-1957,1956-12-02,DOS,PSV,2,8,away_win,-1,1015.2365985660157,983.6389021529076,18.6,13.799999999999999,10,2,0,0,0,0,0,0,0,0,0.0,0.4,0.6,31.59769641310811
1956-1957,1956-12-02,Ajax,SC Enschede,1,2,away_win,-1,1060.1059805337516,1072.0596132838095,13.2,17.6,2,12,0,0,0,0,0,0,0,0,0.0,1.0,0.75,-11.953632750057977
